# scripturl01 :: http://climexp.knmi.nl/getindices.cgi?NPERYEAR=1&STATION=RCP6_CO2EQ&TYPE=i&WMO=CDIACData/RCP6_CO2EQ&id=$id
# CMIP5 recommendations for annual average, global mean concentrations.
# M. Meinshausen, S. Smith et al. The RCP GHG concentrations and their extension from 1765 to 2500, in prep., Climatic Change.
# <a href="http://www.iiasa.ac.at/web-apps/tnt/RcpDb">IIASA</a>
# CO2EQ [ppm] global mean CO2EQ concentration
1765 0.27701467E+03
1766 0.27783880E+03
1767 0.27869351E+03
1768 0.27874752E+03
1769 0.27879644E+03
1770 0.27884896E+03
1771 0.27888421E+03
1772 0.27892512E+03
1773 0.27899387E+03
1774 0.27906906E+03
1775 0.27915130E+03
1776 0.27924240E+03
1777 0.27934214E+03
1778 0.27944672E+03
1779 0.27955094E+03
1780 0.27965007E+03
1781 0.27971846E+03
1782 0.27978173E+03
1783 0.27986798E+03
1784 0.27995858E+03
1785 0.28005821E+03
1786 0.28016952E+03
1787 0.28029117E+03
1788 0.28041905E+03
1789 0.28054845E+03
1790 0.28067599E+03
1791 0.28077766E+03
1792 0.28087905E+03
1793 0.28100453E+03
1794 0.28112966E+03
1795 0.28125415E+03
1796 0.28137816E+03
1797 0.28147794E+03
1798 0.28157703E+03
1799 0.28169873E+03
1800 0.28179530E+03
1801 0.28189146E+03
1802 0.28196434E+03
1803 0.28206097E+03
1804 0.28220419E+03
1805 0.28232288E+03
1806 0.28241845E+03
1807 0.28251428E+03
1808 0.28263057E+03
1809 0.28273903E+03
1810 0.28283640E+03
1811 0.28290004E+03
1812 0.28295740E+03
1813 0.28303571E+03
1814 0.28311463E+03
1815 0.28317382E+03
1816 0.28321462E+03
1817 0.28325897E+03
1818 0.28332685E+03
1819 0.28341490E+03
1820 0.28349758E+03
1821 0.28357508E+03
1822 0.28362677E+03
1823 0.28365484E+03
1824 0.28370645E+03
1825 0.28376004E+03
1826 0.28381560E+03
1827 0.28387272E+03
1828 0.28393097E+03
1829 0.28401280E+03
1830 0.28396219E+03
1831 0.28389979E+03
1832 0.28388170E+03
1833 0.28377007E+03
1834 0.28366423E+03
1835 0.28355955E+03
1836 0.28336933E+03
1837 0.28320262E+03
1838 0.28315294E+03
1839 0.28315861E+03
1840 0.28317040E+03
1841 0.28321078E+03
1842 0.28330585E+03
1843 0.28342935E+03
1844 0.28357864E+03
1845 0.28371288E+03
1846 0.28388515E+03
1847 0.28405105E+03
1848 0.28422002E+03
1849 0.28438831E+03
1850 0.28447783E+03
1851 0.28467850E+03
1852 0.28449410E+03
1853 0.28425420E+03
1854 0.28431698E+03
1855 0.28437752E+03
1856 0.28448655E+03
1857 0.28457144E+03
1858 0.28475751E+03
1859 0.28487162E+03
1860 0.28454001E+03
1861 0.28390984E+03
1862 0.28424023E+03
1863 0.28482703E+03
1864 0.28492869E+03
1865 0.28490678E+03
1866 0.28453849E+03
