ANNUAL MEAN TSI: Lean (GRL 2000) with Wang Lean Sheeley (ApJ 2005) background
Mon Apr  6 11:29:27 2009  PMOD absolute scale - multiply by 0.9965 for TIM scale
    YEAR   TSI 11-yr cycle   TSI cycle+background  
  1610.5      1365.8477      1365.5469
  1611.5      1365.8342      1365.5300
  1612.5      1366.2461      1365.9279
  1613.5      1366.3650      1366.0399
  1614.5      1366.4451      1366.1143
  1615.5      1366.1591      1365.8314
  1616.5      1365.7358      1365.4148
  1617.5      1365.6107      1365.2889
  1618.5      1365.6038      1365.2783
  1619.5      1365.7001      1365.3684
  1620.5      1365.7001      1365.3645
  1621.5      1365.7001      1365.3607
  1622.5      1365.7001      1365.3568
  1623.5      1365.7001      1365.3530
  1624.5      1365.6621      1365.3121
  1625.5      1365.8926      1365.5303
  1626.5      1365.7816      1365.4191
  1627.5      1365.7106      1365.3418
  1628.5      1365.7577      1365.3518
  1629.5      1365.7261      1365.2922
  1630.5      1365.5946      1365.1428
  1631.5      1365.6255      1365.1515
  1632.5      1365.5946      1365.1183
  1633.5      1365.6951      1365.2158
  1634.5      1365.6157      1365.1362
  1635.5      1365.6249      1365.1411
  1636.5      1365.5946      1365.1080
  1637.5      1365.5946      1365.1046
  1638.5      1366.0768      1365.5710
  1639.5      1366.1344      1365.6241
  1640.5      1365.7001      1365.1936
  1641.5      1365.5946      1365.0815
  1642.5      1365.9277      1365.4006
  1643.5      1365.7183      1365.1824
  1644.5      1365.6761      1365.1272
  1645.5      1365.5946      1365.0454
  1646.5      1365.5946      1365.0449
  1647.5      1365.5946      1365.0443
  1648.5      1365.5946      1365.0424
  1649.5      1365.5946      1365.0399
  1650.5      1365.5946      1365.0389
  1651.5      1365.5946      1365.0383
  1652.5      1365.6227      1365.0657
  1653.5      1365.6010      1365.0439
  1654.5      1365.5995      1365.0358
  1655.5      1365.5981      1365.0260
  1656.5      1365.5989      1365.0249
  1657.5      1365.5961      1365.0199
  1658.5      1365.5946      1365.0145
  1659.5      1365.5946      1365.0125
  1660.5      1365.6086      1365.0259
  1661.5      1365.6002      1365.0178
  1662.5      1365.5946      1365.0125
  1663.5      1365.5946      1365.0125
  1664.5      1365.5946      1365.0126
  1665.5      1365.5946      1365.0127
  1666.5      1365.5946      1365.0127
  1667.5      1365.5946      1365.0125
  1668.5      1365.5946      1365.0122
  1669.5      1365.5946      1365.0122
  1670.5      1365.5946      1365.0122
  1671.5      1365.6010      1365.0183
  1672.5      1365.5974      1365.0148
  1673.5      1365.5946      1365.0122
  1674.5      1365.5961      1365.0135
  1675.5      1365.5946      1365.0120
  1676.5      1365.6073      1365.0239
  1677.5      1365.5967      1365.0134
  1678.5      1365.5961      1365.0128
  1679.5      1365.5946      1365.0115
  1680.5      1365.6002      1365.0170
  1681.5      1365.5946      1365.0115
  1682.5      1365.5946      1365.0115
  1683.5      1365.5946      1365.0115
  1684.5      1365.6045      1365.0211
  1685.5      1365.5946      1365.0117
  1686.5      1365.5989      1365.0159
  1687.5      1365.5953      1365.0126
  1688.5      1365.5981      1365.0159
  1689.5      1365.5961      1365.0146
  1690.5      1365.5946      1365.0143
  1691.5      1365.5946      1365.0157
  1692.5      1365.5946      1365.0172
  1693.5      1365.5946      1365.0177
  1694.5      1365.5946      1365.0179
  1695.5      1365.5953      1365.0186
  1696.5      1365.5946      1365.0178
  1697.5      1365.5946      1365.0178
  1698.5      1365.5946      1365.0179
  1699.5      1365.5946      1365.0184
  1700.5      1365.5974      1365.0216
  1701.5      1365.5981      1365.0236
  1702.5      1365.5989      1365.0266
  1703.5      1365.6135      1365.0444
  1704.5      1365.6234      1365.0594
  1705.5      1365.6333      1365.0752
  1706.5      1365.6171      1365.0637
  1707.5      1365.6318      1365.0802
  1708.5      1365.6143      1365.0658
  1709.5      1365.6058      1365.0614
  1710.5      1365.5974      1365.0634
  1711.5      1365.5946      1365.0739
  1712.5      1365.5946      1365.0798
  1713.5      1365.5967      1365.0863
  1714.5      1365.6010      1365.1023
  1715.5      1365.6199      1365.1294
  1716.5      1365.6586      1365.1694
  1717.5      1365.7177      1365.2294
  1718.5      1365.6578      1365.1707
  1719.5      1365.8329      1365.3429
  1720.5      1365.7590      1365.2859
  1721.5      1365.7450      1365.2880
  1722.5      1365.6719      1365.2209
  1723.5      1365.6255      1365.1837
  1724.5      1365.7042      1365.2681
  1725.5      1365.6846      1365.2574
  1726.5      1365.8490      1365.4274
  1727.5      1365.8512      1365.4327
  1728.5      1366.0459      1365.6237
  1729.5      1365.7633      1365.3479
  1730.5      1366.0845      1365.6605
  1731.5      1365.5946      1365.1812
  1732.5      1365.7211      1365.3090
  1733.5      1365.5946      1365.1984
  1734.5      1365.5946      1365.2086
  1735.5      1365.7233      1365.3386
  1736.5      1365.9362      1365.5486
  1737.5      1365.7633      1365.3827
  1738.5      1365.7141      1365.3370
