MONTHLY MEAN TSI: Lean (GRL 2000) with Wang Lean Sheeley (ApJ 2005) background
Mon Apr  6 11:29:27 2009 PMOD absolute scale - multiply by 0.9965 for TIM scale
    YEAR    MONTH   TSI 11-yr cycle   TSI cycle+background  
  1882.0     1.0      1365.9775      1365.7192
  1882.0     2.0      1365.9225      1365.6646
  1882.0     3.0      1365.8103      1365.5528
  1882.0     4.0      1365.3286      1365.0715
  1882.0     5.0      1365.3104      1365.0538
  1882.0     6.0      1365.7081      1365.4519
  1882.0     7.0      1365.7951      1365.5393
  1882.0     8.0      1365.6827      1365.4274
  1882.0     9.0      1365.5643      1365.3094
  1882.0    10.0      1365.3501      1365.0956
  1882.0    11.0      1365.1378      1364.8838
  1882.0    12.0      1365.9799      1365.7263
  1883.0     1.0      1365.7641      1365.5105
  1883.0     2.0      1365.7454      1365.4915
  1883.0     3.0      1365.8323      1365.5780
  1883.0     4.0      1365.6769      1365.4223
  1883.0     5.0      1365.9806      1365.7256
  1883.0     6.0      1365.5044      1365.2491
  1883.0     7.0      1365.2947      1365.0390
  1883.0     8.0      1365.9309      1365.6748
  1883.0     9.0      1365.6481      1365.3917
  1883.0    10.0      1365.6085      1365.3517
  1883.0    11.0      1365.7320      1365.4748
  1883.0    12.0      1365.8718      1365.6143
  1884.0     1.0      1365.8871      1365.6288
  1884.0     2.0      1365.9280      1365.6686
  1884.0     3.0      1365.9857      1365.7251
  1884.0     4.0      1365.7003      1365.4386
  1884.0     5.0      1365.8910      1365.6281
  1884.0     6.0      1366.1342      1365.8701
  1884.0     7.0      1366.0016      1365.7364
  1884.0     8.0      1365.9298      1365.6634
  1884.0     9.0      1365.7643      1365.4968
  1884.0    10.0      1365.6936      1365.4249
  1884.0    11.0      1365.9103      1365.6404
  1884.0    12.0      1365.7605      1365.4894
  1885.0     1.0      1365.9779      1365.7052
  1885.0     2.0      1365.7776      1365.5030
  1885.0     3.0      1365.7839      1365.5073
  1885.0     4.0      1365.7775      1365.4988
  1885.0     5.0      1365.9207      1365.6400
  1885.0     6.0      1365.4861      1365.2033
  1885.0     7.0      1365.7736      1365.4888
  1885.0     8.0      1365.9085      1365.6216
  1885.0     9.0      1365.8049      1365.5160
  1885.0    10.0      1365.7170      1365.4260
  1885.0    11.0      1365.7714      1365.4783
  1885.0    12.0      1365.8328      1365.5377
  1886.0     1.0      1365.5579      1365.2608
  1886.0     2.0      1365.7954      1365.4966
  1886.0     3.0      1365.5852      1365.2846
  1886.0     4.0      1365.7547      1365.4523
  1886.0     5.0      1365.5344      1365.2302
  1886.0     6.0      1365.7359      1365.4299
  1886.0     7.0      1365.6559      1365.3481
  1886.0     8.0      1365.7807      1365.4710
  1886.0     9.0      1365.7096      1365.3981
  1886.0    10.0      1365.6761      1365.3628
  1886.0    11.0      1365.6315      1365.3164
  1886.0    12.0      1365.5748      1365.2578
  1887.0     1.0      1365.6734      1365.3549
  1887.0     2.0      1365.7007      1365.3810
  1887.0     3.0      1365.6796      1365.3587
  1887.0     4.0      1365.6773      1365.3552
  1887.0     5.0      1365.6478      1365.3245
  1887.0     6.0      1365.6685      1365.3440
  1887.0     7.0      1365.6681      1365.3423
  1887.0     8.0      1365.6765      1365.3495
  1887.0     9.0      1365.5353      1365.2071
  1887.0    10.0      1365.6356      1365.3061
  1887.0    11.0      1365.6581      1365.3274
  1887.0    12.0      1365.3876      1365.0557
  1888.0     1.0      1365.6877      1365.3551
  1888.0     2.0      1365.5807      1365.2479
  1888.0     3.0      1365.5890      1365.2561
  1888.0     4.0      1365.6601      1365.3271
  1888.0     5.0      1365.4276      1365.0944
  1888.0     6.0      1365.6292      1365.2959
  1888.0     7.0      1365.6328      1365.2993
  1888.0     8.0      1365.6442      1365.3106
  1888.0     9.0      1365.6338      1365.3000
  1888.0    10.0      1365.6245      1365.2906
  1888.0    11.0      1365.4987      1365.1647
  1888.0    12.0      1365.5809      1365.2467
  1889.0     1.0      1365.5874      1365.2534
  1889.0     2.0      1365.6019      1365.2685
  1889.0     3.0      1365.6374      1365.3045
  1889.0     4.0      1365.6012      1365.2689
  1889.0     5.0      1365.6012      1365.2695
  1889.0     6.0      1365.4372      1365.1060
  1889.0     7.0      1365.5949      1365.2643
  1889.0     8.0      1365.5908      1365.2608
  1889.0     9.0      1365.5988      1365.2693
  1889.0    10.0      1365.6041      1365.2752
  1889.0    11.0      1365.5731      1365.2448
  1889.0    12.0      1365.6060      1365.2782
  1890.0     1.0      1365.6231      1365.2961
  1890.0     2.0      1365.6066      1365.2804
  1890.0     3.0      1365.5653      1365.2400
  1890.0     4.0      1365.6229      1365.2985
  1890.0     5.0      1365.6436      1365.3201
  1890.0     6.0      1365.6316      1365.3090
  1890.0     7.0      1365.6386      1365.3169
  1890.0     8.0      1365.5304      1365.2096
  1890.0     9.0      1365.6608      1365.3409
  1890.0    10.0      1365.5331      1365.2141
  1890.0    11.0      1365.5130      1365.1949
  1890.0    12.0      1365.6892      1365.3719
  1891.0     1.0      1365.6669      1365.3507
  1891.0     2.0      1365.7351      1365.4200
  1891.0     3.0      1365.8065      1365.4925
  1891.0     4.0      1365.8168      1365.5039
  1891.0     5.0      1365.9234      1365.6117
  1891.0     6.0      1365.9487      1365.6381
  1891.0     7.0      1365.7729      1365.4635
  1891.0     8.0      1365.9987      1365.6904
  1891.0     9.0      1365.6333      1365.3261
  1891.0    10.0      1365.9432      1365.6372
  1891.0    11.0      1365.8682      1365.5633
  1891.0    12.0      1365.9437      1365.6400
  1892.0     1.0      1365.8693      1365.5667
  1892.0     2.0      1365.5848      1365.2831
  1892.0     3.0      1365.9758      1365.6751
  1892.0     4.0      1366.0083      1365.7085
  1892.0     5.0      1365.7796      1365.4808
  1892.0     6.0      1366.0945      1365.7967
  1892.0     7.0      1365.6002      1365.3034
  1892.0     8.0      1365.9379      1365.6421
  1892.0     9.0      1366.0439      1365.7491
  1892.0    10.0      1365.9842      1365.6903
  1892.0    11.0      1365.9607      1365.6678
